Árvore  Descrição           AuditoriErros   Erros (%Não lidoNão lidoDesatualDesatualLido semLido semNão audiNão audiQtde TotNão audiNão audiQtde TotÚltima lÚltima l
1       093 - Pirajussara -       40     869  10,70%     555   6,83%     293   3,60%     227   2,79%      21   0,25%    8118   48644  82,87%   58694     ###17:56:27
1.1     1 -  A CLASSIFICAR         0       0   0,00%       0   0,00%       0   0,00%       0   0,00%       0   0,00%       0       2 100,00%       2        
1.2     22 - ADMINISTRATIVO        0       0   0,00%       0   0,00%       0   0,00%       0   0,00%       0   0,00%       0       0   0,00%       0     ###16:28:02
1.3     23 - ALTO GIRO             0      39  14,28%      29  10,62%      10   3,66%       6   2,19%       0   0,00%     273    2619  88,83%    2948     ###17:09:14
1.4     24 - BAZAR                 0     162  11,49%     123   8,72%      36   2,55%      93   6,60%       3   0,21%    1409    8414  82,88%   10151     ###17:56:27
1.5     25 - CAFETERIA             0       0   0,00%       0   0,00%       0   0,00%       0   0,00%       0   0,00%       0       9 100,00%       9     ###08:25:00
1.6     26 - DIVERSOS              0       0   0,00%       0   0,00%       0   0,00%       0   0,00%       0   0,00%      18      35  61,40%      57     ###17:12:12
1.7     27 - DPH                   0     273  13,40%     216  10,60%      53   2,60%      39   1,91%       4   0,19%    2036    7614  74,62%   10203     ###17:53:37
1.8     28 - FLV                   0       1 100,00%       0   0,00%       1 100,00%       0   0,00%       0   0,00%       1     176  99,43%     177     ###16:57:18
1.9     29 - INATIVO               0       0   0,00%       0   0,00%       0   0,00%       0   0,00%       0   0,00%       1       3  75,00%       4     ###14:20:09
1.10    30 - LATICINIOS 1          0      20   7,66%       3   1,14%      17   6,51%       6   2,29%       0   0,00%     261    2249  85,54%    2629     ###17:22:52
1.11    31 - LIQUIDA               0      43   5,50%       7   0,89%      33   4,22%      18   2,30%       3   0,38%     781    4127  81,85%    5042     ###17:39:57
1.12    32 - MATRIZ                0       0   0,00%       0   0,00%       0   0,00%       0   0,00%       0   0,00%       0       0   0,00%       0        
1.13    33 - PERECIVEL 1           0      25   6,26%       5   1,25%      16   4,01%       2   0,50%       4   1,00%     399    2948  86,40%    3412     ###17:42:55
1.14    34 - PERECIVEL 2           0      19   3,72%       5   0,98%      13   2,54%      14   2,74%       1   0,19%     510    5203  88,44%    5883     ###17:52:08
1.15    35 - PERECIVEL 2 B         0       2   7,40%       0   0,00%       2   7,40%       0   0,00%       0   0,00%      27     190  86,36%     220     ###17:30:36
1.16    36 - PERECIVEL 3           0      13  11,71%       5   4,50%       8   7,20%       2   1,80%       0   0,00%     111    1320  90,47%    1459     ###17:39:37
1.17    37 - SECA DOCE             0     168  11,05%      95   6,25%      67   4,40%      30   1,97%       6   0,39%    1520    9055  82,82%   10933     ###17:16:07
1.18    38 - SECA SALGADA          0      83  14,82%      56  10,00%      27   4,82%      10   1,78%       0   0,00%     560    3005  82,48%    3643     ###17:09:20
1.19    39 - SECA SALGADA 2        0      21   9,95%      11   5,21%      10   4,73%       7   3,31%       0   0,00%     211    1675  87,14%    1922     ###17:09:05
