SEQPRODUTO;DESCCOMPLETA;EMB;CODACESSO;COMPRADOR
8189;ABACATE KG;1 - KG;75;FLV 1
8189;ABACATE KG;20 - CX;81890020;FLV 1
8189;ABACATE KG;20 - CX;9999900308204;FLV 1
1118748;ABACATE MARGARIDA KG;1 - KG;7434;FLV 1
1118748;ABACATE MARGARIDA KG;20 - CX;11187480020;FLV 1
1062605;ABIU KG;1 - KG;6351;FLV
62907;ABOBORA BAIANA KG;1 - KG;678;FLV 1
61912;ABOBORA CABOCLO KG;1 - KG;596;FLV 1
988546;ABOBORA CABOCLO PD;1 - KG;4924;FLV 1
988546;ABOBORA CABOCLO PD;1 - KG;9885460001;FLV 1
1069323;ABOBORA CAIPIRA KG;1 - KG;6585;FLV
1115037;ABOBORA CREMOSA BATA KG;1 - KG;11150370001;FLV
1115037;ABOBORA CREMOSA BATA KG;1 - KG;7356;FLV
34618;ABOBORA ITALIANA HORTMIX EMB KG;1 - KG;9775;FLV 1
61950;ABOBORA JACARE KG;1 - KG;593;FLV 1
8158;ABOBORA JAPONESA KG;1 - KG;4;FLV 1
8158;ABOBORA JAPONESA KG;30 - SC;9999900302806;FLV 1
8159;ABOBORA JAPONESA PD;1 - KG;4168;FLV 1
61949;ABOBORA LEITE KG;1 - KG;592;FLV 1
61913;ABOBORA MENINA KG;1 - KG;597;FLV 1
8143;ABOBORA MORANGA KG;1 - KG;99;FLV 1
8143;ABOBORA MORANGA KG;30 - SC;9999900302202;FLV 1
8144;ABOBORA MORANGA PD;1 - KG;4169;FLV 1
8244;ABOBORA PAULISTA KG;1 - KG;864;FLV 1
8244;ABOBORA PAULISTA KG;20 - SC;40020001;FLV 1
8244;ABOBORA PAULISTA KG;20 - SC;9999900832105;FLV 1
3607;ABOBORA SECA KG;1 - KG;36070001;FLV 1
3607;ABOBORA SECA KG;1 - KG;4069;FLV 1
1083848;ABOBORA SECA PD;1 - KG;6908;FLV 1
62886;ABOBORA SERGIPANA KG;1 - KG;677;FLV 1
1096335;ABOBRINHA BRANCA KG;1 - KG;10963350001;FLV
1096335;ABOBRINHA BRANCA KG;1 - KG;6986;FLV
17755;ABOBRINHA BRASILEIRA KG;1 - KG;5753;FLV 1
17755;ABOBRINHA BRASILEIRA KG;13 - CX;1000000009262;FLV 1
17755;ABOBRINHA BRASILEIRA KG;13 - CX;653300001;FLV 1
17755;ABOBRINHA BRASILEIRA KG;17 - CX;1000000002799;FLV 1
17755;ABOBRINHA BRASILEIRA KG;17 - CX;177540001;FLV 1
8137;ABOBRINHA ITALIANA KG;1 - KG;2738;FLV 1
8137;ABOBRINHA ITALIANA KG;16 - CX;1000000009279;FLV 1
8137;ABOBRINHA ITALIANA KG;16 - CX;653310001;FLV 1
8137;ABOBRINHA ITALIANA KG;20 - CX;37060001;FLV 1
8137;ABOBRINHA ITALIANA KG;20 - CX;9999900268300;FLV 1
1096338;ABOBRINHA VERDE KG;1 - KG;10963380001;FLV
1096338;ABOBRINHA VERDE KG;1 - KG;6985;FLV
63788;ACELGA KG;1 - KG;1055;FLV 1
1057963;ACEROLA KG;1 - KG;6195;FLV 1
1121651;AIPIM KG;1 - KG;7533;FLV
8123;ALHO A GRANEL KG;1 - KG;3389;PERECIVEIS IMPORTADO
8123;ALHO A GRANEL KG;1 - KG;81230001;PERECIVEIS IMPORTADO
8123;ALHO A GRANEL KG;10 - CX;1000000026016;PERECIVEIS IMPORTADO
8123;ALHO A GRANEL KG;10 - CX;81230010;PERECIVEIS IMPORTADO
1104712;ALHO SUPER A GRANEL KG;1 - KG;5781;PERECIVEIS IMPORTADO
1104712;ALHO SUPER A GRANEL KG;10 - CX;11047120010;PERECIVEIS IMPORTADO
8249;AMEIXA IMPORTADA KG;1 - KG;1047;FLV 1
8249;AMEIXA IMPORTADA KG;8 - CX;40320001;FLV 1
8249;AMEIXA IMPORTADA KG;8 - CX;9999900923308;FLV 1
8221;AMEIXA NACIONAL KG;1 - KG;636;FLV 1
